periodo,valor
2020-1-02,7.55
2020-1-03,7.55
2020-1-06,7.55
2020-1-07,7.55
2020-1-08,7.55
2020-1-09,7.55
2020-1-10,7.55
2020-1-13,7.55
2020-1-14,7.45
2020-1-15,7.45
2020-1-16,7.45
2020-1-17,7.45
2020-1-19,7.45
2020-1-20,7.45
2020-1-21,7.45
2020-2-03,7.45
2020-2-04,7.45
2020-2-05,7.45
2020-2-06,7.45
2020-2-07,7.45
2020-2-10,7.45
2020-2-11,7.45
2020-2-12,7.45
2020-2-13,7.45
2020-2-14,7.45
2020-2-17,7.45
2020-2-18,7.45
2020-2-19,7.45
2020-2-20,7.45
2020-2-21,7.45
2020-2-24,7.45
2020-2-25,7.45
2020-2-26,7.45
2020-2-27,7.45
2020-2-28,7.45
2020-3-02,7.45
2020-3-03,7.45
2020-3-04,7.45
2020-3-05,7.45
2020-3-06,7.45
2020-3-09,7.45
2020-3-10,7.45
2020-3-11,7.35
2020-3-12,7.35
2020-3-13,7.35
2020-3-16,7.25
2020-3-17,7.25
2020-3-18,7.25
2020-3-19,7.25
2020-3-20,7.25
2020-3-23,7.25
2020-3-24,7.25
2020-3-25,7.25
2020-3-26,7.25
2020-3-27,7.25
2020-3-30,7.25
2020-3-31,7.25
2020-4-01,7.15
2020-4-02,7.15
2020-4-03,7.15
2020-4-07,7.15
2020-4-08,7.15
2020-4-09,7.15
2020-4-10,7.15
2020-4-13,7.15
2020-4-14,7.15
2020-4-15,7.15
2020-4-16,7.15
2020-4-17,7.05
2020-4-20,7.05
2020-4-21,7.05
2020-4-22,6.95
2020-4-23,6.95
2020-4-24,6.95
2020-4-26,6.95
2020-4-27,6.95
2020-4-28,6.85
2020-4-29,6.85
2020-4-30,6.85
2020-5-06,6.85
2020-5-07,6.85
2020-5-08,6.85
2020-5-09,6.85
2020-5-11,6.85
2020-5-12,6.85
2020-5-13,6.85
2020-5-14,6.85
2020-5-15,6.85
2020-5-18,6.85
2020-5-19,6.85
2020-5-20,6.85
2020-5-21,6.85
2020-5-22,6.85
2020-5-25,6.85
2020-5-26,6.85
2020-5-27,6.85
2020-5-28,6.85
2020-5-29,6.75
2020-6-01,6.75
2020-6-02,6.75
2020-6-03,6.75
2020-6-04,6.75
2020-6-05,6.55
2020-6-08,6.55
2020-6-09,6.45
2020-6-10,6.45
2020-6-11,6.45
2020-6-12,6.45
2020-6-15,6.45
2020-6-16,6.45
2020-6-17,6.45
2020-6-18,6.45
2020-6-19,6.35
2020-6-22,6.35
2020-6-23,6.35
2020-6-24,6.35
2020-6-28,6.35
2020-6-29,6.35
2020-6-30,6.35
2020-7-01,6.25
2020-7-02,6.25
2020-7-03,6.25
2020-7-06,6.25
2020-7-07,6.25
2020-7-08,6.25
2020-7-09,6.25
2020-7-10,6.25
2020-7-13,6.25
2020-7-14,6.25
2020-7-15,6.25
2020-7-16,6.25
2020-7-17,6.25
2020-7-20,6.25
2020-7-21,6.25
2020-7-22,6.25
2020-7-23,6.25
2020-7-24,6.25
2020-7-27,6.25
2020-7-28,6.25
2020-7-29,6.25
2020-7-30,6.25
2020-7-31,6.25
2020-8-03,6.15
2020-8-04,6.15
2020-8-05,6.15
2020-8-06,6.15
2020-8-07,6.15
2020-8-10,6.15
2020-8-11,6.15
2020-8-12,6.15
2020-8-13,6.15
2020-8-14,6.15
2020-8-17,6.15
2020-8-18,6.15
2020-8-19,6.15
2020-8-20,6.15
2020-8-21,6.15
2020-8-24,6.15
2020-8-25,6.15
2020-8-26,6.15
